City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lasa,IT,46.6166,10.7002,19.69,74,46,0.96,scattered clouds
1,San Rafael,AR,-34.6177,-68.3301,68.92,30,0,6.11,clear sky
2,Bluff,NZ,-46.6,168.3333,56.03,76,93,16.11,overcast clouds
3,Ponta Do Sol,PT,32.6667,-17.1,59.7,83,92,6.38,overcast clouds
4,Ancud,CL,-41.8697,-73.8203,56.16,88,100,12.84,light rain
5,Ushuaia,AR,-54.8,-68.3,40.78,96,100,7.49,light rain
6,Sisimiut,GL,66.9395,-53.6735,-3.75,90,100,3.49,overcast clouds
7,Jakar,BT,27.5492,90.7525,48.6,49,1,2.24,clear sky
8,Kapaa,US,22.0752,-159.319,80.58,79,75,10.36,moderate rain
9,Hervey Bay,AU,-25.2986,152.8535,86.04,71,66,11.99,broken clouds
10,Bagotville,AU,-28.9833,153.4167,71.78,99,73,11.48,broken clouds
11,Ayagoz,KZ,47.9714,80.4392,6.24,77,38,3.74,scattered clouds
12,Sao Filipe,CV,14.8961,-24.4956,69.44,67,0,18.54,clear sky
13,Vestmanna,FO,62.1564,-7.1664,36.95,74,52,39.46,broken clouds
14,Port Elizabeth,ZA,-33.918,25.5701,67.1,100,100,5.75,overcast clouds
15,Vaini,TO,-21.2,-175.2,79.7,79,100,10.74,light rain
16,Jamestown,US,42.097,-79.2353,33.12,46,100,6.91,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,24.96,63,100,8.14,overcast clouds
18,Cidreira,BR,-30.1811,-50.2056,73.58,94,100,2.33,overcast clouds
19,Geraldton,AU,-28.7667,114.6,75.58,64,89,17.38,overcast clouds
20,Hobart,AU,-42.8794,147.3294,71.46,73,100,12.66,overcast clouds
21,Metro,ID,-5.1131,105.3067,82.24,74,100,4.92,overcast clouds
22,Padang,ID,-0.9492,100.3543,82.83,71,100,3.31,overcast clouds
23,Tavistock,GB,50.5494,-4.1442,39.6,96,95,6.87,overcast clouds
24,Faanui,PF,-16.4833,-151.75,82.04,73,22,15.66,few clouds
25,Upernavik,GL,72.7868,-56.1549,-7.08,74,13,6.87,few clouds
26,Hermanus,ZA,-34.4187,19.2345,65.71,91,0,5.64,clear sky
27,Albany,US,42.6001,-73.9662,10.44,91,45,1.66,scattered clouds
28,Mataura,NZ,-46.1927,168.8643,57.47,79,100,5.1,overcast clouds
29,Avera,US,33.194,-82.5271,49.17,49,2,5.03,clear sky
30,Puerto Ayora,EC,-0.7393,-90.3518,76.55,92,72,1.01,broken clouds
31,Rikitea,PF,-23.1203,-134.9692,79.36,67,88,0.87,overcast clouds
32,Saskylakh,RU,71.9167,114.0833,-23.31,99,99,4.36,overcast clouds
33,Port Alfred,ZA,-33.5906,26.891,71.53,91,85,10.58,overcast clouds
34,Beloha,MG,-25.1667,45.05,71.35,96,59,5.39,broken clouds
35,Tuktoyaktuk,CA,69.4541,-133.0374,-7.38,87,5,10.58,clear sky
36,Salalah,OM,17.0151,54.0924,70.57,62,0,1.9,clear sky
37,Turayf,SA,31.6725,38.6637,52.25,34,36,6.29,scattered clouds
38,Tazovskiy,RU,67.4667,78.7,17.83,96,100,3.62,overcast clouds
39,Honiara,SB,-9.4333,159.95,81.52,72,100,2.37,overcast clouds
40,Kokoda,PG,-8.8785,147.7407,83.91,75,100,1.92,overcast clouds
41,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,85.51,50,26,7.2,scattered clouds
42,Nazilli,TR,37.9163,28.3223,45.86,89,99,2.35,overcast clouds
43,Avarua,CK,-21.2078,-159.775,81.19,74,99,7.65,overcast clouds
44,Lyngseidet,NO,69.5763,20.2189,35.94,70,100,12.84,light rain
45,Antalaha,MG,-14.9003,50.2788,73.87,89,43,3.76,scattered clouds
46,Soni,TZ,-4.85,38.3667,61.54,84,69,1.95,broken clouds
47,Suntar,RU,62.1444,117.6319,5.59,92,98,1.79,overcast clouds
48,Kasongo-Lunda,CD,-6.4667,16.8167,69.21,98,93,0.74,light rain
49,Okha,RU,53.5739,142.9478,3.56,73,88,11.39,overcast clouds
50,Butaritari,KI,3.0707,172.7902,82.22,74,47,15.7,scattered clouds
51,Georgetown,MY,5.4112,100.3354,83.95,79,20,16.11,few clouds
52,Narsaq,GL,60.9167,-46.05,2.77,93,58,6.93,broken clouds
53,Borba,BR,-4.3878,-59.5939,73.94,98,100,0.22,moderate rain
54,Gisborne,NZ,-38.6533,178.0042,65.07,68,26,12.37,scattered clouds
55,Khatanga,RU,71.9667,102.5,-9.2,98,99,3.62,overcast clouds
56,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,74.57,80,1,1.99,clear sky
57,Labuhan,ID,-6.8844,112.2051,83.12,77,100,7.14,light rain
58,Saint-Georges,GD,12.0564,-61.7485,78.46,79,86,14.32,overcast clouds
59,Bredasdorp,ZA,-34.5322,20.0403,65.64,95,2,4.83,clear sky
60,Constitucion,CL,-35.3333,-72.4167,60.31,61,0,10.89,clear sky
61,Hilo,US,19.7297,-155.09,75.56,78,52,9.28,broken clouds
62,Pisco,PE,-13.7,-76.2167,70.16,86,100,4.14,overcast clouds
63,Araguaina,BR,-7.1911,-48.2072,73.94,91,100,3.33,moderate rain
64,Mayo,US,38.8876,-76.5119,36.25,61,66,13.06,broken clouds
65,Sochi,RU,43.6,39.7303,48.65,90,100,5.23,light rain
66,Sioux Lookout,CA,50.1001,-91.917,17.98,92,75,2.3,broken clouds
67,Busselton,AU,-33.65,115.3333,76.05,62,60,13.96,broken clouds
68,Guaratuba,BR,-25.8828,-48.5747,77.77,93,98,0.4,overcast clouds
69,New Norfolk,AU,-42.7826,147.0587,71.01,76,100,8.84,light rain
70,Fernie,CA,49.5,-115.0687,35.65,99,100,2.13,overcast clouds
71,Cape Town,ZA,-33.9258,18.4232,65.23,86,2,7.05,clear sky
72,Batagay-Alyta,RU,67.8006,130.4114,-6.29,88,100,2.46,overcast clouds
73,Longyearbyen,SJ,78.2186,15.6401,-9.35,91,43,3.65,scattered clouds
74,Hearst,CA,49.6835,-83.6665,13.46,96,100,4.27,overcast clouds
75,Kidal,ML,18.4411,1.4078,74.53,7,37,9.62,scattered clouds
76,Mar Del Plata,AR,-38.0023,-57.5575,56.88,61,0,5.75,clear sky
77,Chase,CA,50.8165,-119.6857,38.53,99,100,2.57,light rain
78,Jumla,NP,29.2747,82.1838,48.18,35,99,1.99,overcast clouds
79,Magadan,RU,59.5667,150.8,7.54,73,100,7.63,overcast clouds
80,Punta Arenas,CL,-53.15,-70.9167,45.64,82,100,17.36,light rain
81,Nanortalik,GL,60.1432,-45.2371,13.17,65,4,11.41,clear sky
82,Kodiak,US,57.79,-152.4072,36.91,75,20,4.61,few clouds
83,Cherskiy,RU,68.75,161.3,2.17,93,100,9.28,light snow
84,Man,CI,7.4125,-7.5538,71.83,92,98,2.57,overcast clouds
85,Tateyama,JP,34.9833,139.8667,57.83,60,18,27.18,few clouds
86,Airai,TL,-8.9266,125.4092,74.82,54,26,4.83,scattered clouds
87,Provideniya,RU,64.3833,-173.3,30.31,86,100,6.71,overcast clouds
88,Morondava,MG,-20.2833,44.2833,77.92,88,100,14.0,moderate rain
89,Trairi,BR,-3.2778,-39.2689,78.69,79,48,8.63,scattered clouds
90,Lorengau,PG,-2.0226,147.2712,77.23,91,100,10.8,overcast clouds
91,Katangli,RU,51.7102,143.2326,10.65,62,68,12.44,broken clouds
92,Zelenoborsk,RU,61.4669,64.0333,26.6,73,98,16.78,overcast clouds
93,Saint-Philippe,RE,-21.3585,55.7679,79.14,79,1,6.31,clear sky
94,Dikson,RU,73.5069,80.5464,-9.29,100,98,4.7,overcast clouds
95,Thompson,CA,55.7435,-97.8558,-12.84,77,0,0.0,clear sky
96,Kiama,AU,-34.6833,150.8667,72.37,92,100,8.99,light rain
97,Kumluca,TR,36.3703,30.2869,53.8,70,94,3.67,overcast clouds
98,Chokurdakh,RU,70.6333,147.9167,-6.54,97,97,5.06,overcast clouds
99,Auki,SB,-8.7676,160.7034,84.45,65,100,3.89,overcast clouds
100,Ilebo,CD,-4.3167,20.5833,70.34,99,100,1.97,light rain
101,Wenling,CN,28.3669,121.36,62.37,79,62,8.52,broken clouds
102,Lebu,CL,-37.6167,-73.65,57.87,74,10,17.47,clear sky
103,Puerto Penasco,MX,31.3167,-113.5333,69.12,36,74,11.77,broken clouds
104,Sakaiminato,JP,35.55,133.2333,46.38,93,75,4.61,moderate rain
105,Awash,ET,8.9833,40.1667,68.58,83,66,1.81,light rain
106,Atuona,PF,-9.8,-139.0333,78.85,76,24,18.86,few clouds
107,Gizo,SB,-8.103,156.8419,82.89,74,59,0.63,light rain
108,Alugan,PH,12.2188,125.4808,82.49,76,96,14.41,overcast clouds
109,Klaksvik,FO,62.2266,-6.589,39.42,71,31,41.7,scattered clouds
110,Nishihara,JP,26.1842,127.7558,75.25,69,40,13.8,scattered clouds
111,Matara,LK,5.9485,80.5353,78.87,81,69,4.36,broken clouds
112,Yellowknife,CA,62.456,-114.3525,-15.5,99,84,6.31,broken clouds
113,Clyde River,CA,70.4692,-68.5914,-5.57,84,100,16.11,light snow
114,Lagoa,PT,39.05,-27.9833,59.86,85,100,14.23,overcast clouds
115,Castro,BR,-24.7911,-50.0119,65.91,91,74,2.51,broken clouds
116,Takoradi,GH,4.8845,-1.7554,78.39,92,47,5.99,scattered clouds
117,Gorontalo,ID,0.5412,123.0595,91.06,54,28,3.2,scattered clouds
118,Kahului,US,20.8947,-156.47,75.27,70,91,4.05,overcast clouds
119,Victoria,HK,22.2855,114.1577,75.94,79,100,5.01,overcast clouds
120,Sept-Iles,CA,50.2001,-66.3821,0.12,46,20,8.05,few clouds
121,Laguna,US,38.421,-121.4238,58.71,68,62,0.58,broken clouds
122,Viedma,AR,-40.8135,-62.9967,58.23,34,47,8.5,scattered clouds
123,Nizhneangarsk,RU,55.7833,109.55,13.42,85,93,3.33,overcast clouds
124,Norman Wells,CA,65.282,-126.8329,-9.51,97,10,4.88,clear sky
125,Namibe,AO,-15.1961,12.1522,72.77,85,100,4.88,overcast clouds
126,Kavieng,PG,-2.5744,150.7967,83.05,74,98,5.3,moderate rain
127,Kolpashevo,RU,58.3131,82.9089,23.72,89,100,15.97,overcast clouds
128,Bataipora,BR,-22.2953,-53.2711,76.35,76,39,2.71,scattered clouds
129,Rio Gallegos,AR,-51.6226,-69.2181,52.38,48,100,21.41,overcast clouds
130,Hovd,MN,48.0056,91.6419,7.21,66,80,1.23,broken clouds
131,Vila Franca Do Campo,PT,37.7167,-25.4333,60.3,89,99,2.68,overcast clouds
132,Nuuk,GL,64.1835,-51.7216,-1.8,98,100,2.39,overcast clouds
133,Muros,ES,42.7762,-9.0603,53.98,86,100,9.35,light rain
134,Kysyl-Syr,RU,63.8986,122.7617,-0.6,95,100,4.07,overcast clouds
135,Hokitika,NZ,-42.7167,170.9667,66.99,74,65,11.18,broken clouds
136,Winnemucca,US,40.973,-117.7357,51.85,37,0,8.05,clear sky
137,Tatawin,TN,32.9297,10.4518,48.51,88,100,16.93,overcast clouds
138,Barrow,US,71.2906,-156.7887,15.49,96,100,6.67,overcast clouds
139,Camacha,PT,33.0833,-16.3333,59.76,82,40,11.5,scattered clouds
140,Evensk,RU,61.95,159.2333,10.63,86,100,5.03,overcast clouds
141,Husavik,IS,66.0449,-17.3389,32.43,99,100,17.36,snow
142,Tomball,US,30.0972,-95.6161,53.56,65,0,0.0,clear sky
143,Kaputa,ZM,-8.4689,29.6619,66.36,88,71,3.13,broken clouds
144,Bargi,IN,22.9833,79.8667,71.17,36,8,6.2,clear sky
145,Laa,SL,8.0797,-10.7732,70.63,99,97,1.43,overcast clouds
146,Mandalgovi,MN,45.7625,106.2708,23.81,27,4,19.73,clear sky
147,Port Blair,IN,11.6667,92.75,82.67,73,99,14.12,overcast clouds
148,North Bend,US,43.4065,-124.2243,60.94,94,100,12.66,overcast clouds
149,Zimovniki,RU,47.1483,42.4633,34.07,81,97,6.15,overcast clouds
150,East London,ZA,-33.0153,27.9116,72.54,87,92,9.13,overcast clouds
151,San Patricio,US,28.017,-97.5169,51.35,54,79,6.44,broken clouds
152,Hwange,ZW,-18.3693,26.5019,67.03,86,67,3.8,broken clouds
153,Cerchezu,RO,43.8167,28.1,31.6,98,100,15.77,light snow
154,Noyabrsk,RU,63.1994,75.4507,23.97,93,100,21.05,light snow
155,Guanhaes,BR,-18.775,-42.9325,59.86,94,0,1.66,clear sky
156,Balta,UA,47.9355,29.6198,29.98,86,100,14.47,overcast clouds
157,Nurlat,RU,54.4277,50.8051,29.57,96,100,5.66,overcast clouds
158,Ayan,RU,56.45,138.1667,6.4,52,100,8.77,overcast clouds
159,Balkanabat,TM,39.5108,54.3671,49.33,59,100,3.76,overcast clouds
160,Phalombe,MW,-15.8064,35.6507,64.69,96,100,1.07,overcast clouds
161,Hasaki,JP,35.7333,140.8333,59.4,46,100,12.03,overcast clouds
162,Lashio,MM,22.9333,97.75,74.75,30,3,1.88,clear sky
163,Moussoro,TD,13.6408,16.4901,69.17,10,14,11.63,few clouds
164,Chara,RU,56.9064,118.2631,6.04,76,99,2.42,overcast clouds
165,Luderitz,NA,-26.6481,15.1594,64.58,80,0,8.43,clear sky
166,Havelock,US,34.8791,-76.9013,45.5,73,32,9.91,scattered clouds
167,Komsomolskiy,UZ,40.4272,71.7189,49.17,61,96,1.19,overcast clouds
168,Curvelo,BR,-18.7564,-44.4308,67.24,70,2,4.27,clear sky
169,Yulara,AU,-25.2406,130.9889,99.7,16,6,10.45,clear sky
170,Tiznit,MA,29.5833,-9.5,60.39,51,0,2.33,clear sky
171,Margate,GB,51.3813,1.3862,46.62,94,100,9.8,light rain
172,Meulaboh,ID,4.1363,96.1285,75.63,91,100,7.56,overcast clouds
173,Morehead,US,37.2711,-87.1764,42.64,74,100,6.49,overcast clouds
174,Portland,US,45.5234,-122.6762,56.7,85,100,11.92,overcast clouds
175,Kuloy,RU,61.0305,42.4925,15.3,97,56,4.68,broken clouds
176,Saint-Joseph,RE,-21.3667,55.6167,75.58,77,5,3.8,clear sky
177,Neepawa,CA,50.2289,-99.4664,6.3,98,100,3.47,overcast clouds
178,Tilichiki,RU,60.4667,166.1,11.14,92,63,6.71,broken clouds
179,Brodnica,PL,53.2597,19.3965,24.19,52,0,0.85,clear sky
180,Tecolutla,MX,20.4833,-97.0167,64.6,79,100,4.38,overcast clouds
181,Khandyga,RU,62.6667,135.6,-5.1,89,96,1.97,overcast clouds
182,Raudeberg,NO,61.9875,5.1352,41.04,78,100,27.58,overcast clouds
183,Fairbanks,US,64.8378,-147.7164,16.03,98,99,1.77,overcast clouds
184,Sitka,US,57.0531,-135.33,39.45,97,100,1.9,light rain
185,Carnarvon,AU,-24.8667,113.6333,80.74,56,20,19.98,few clouds
186,Agadir,MA,30.4202,-9.5982,57.65,62,2,2.82,clear sky
187,Torbay,CA,47.6666,-52.7314,23.63,83,100,19.64,light snow
188,Port Hedland,AU,-20.3167,118.5667,89.08,61,100,4.5,overcast clouds
189,Caravelas,BR,-17.7125,-39.2481,75.6,84,2,4.27,clear sky
190,Ahipara,NZ,-35.1667,173.1667,70.84,57,97,1.52,light rain
191,Coelho Neto,BR,-4.2567,-43.0128,72.66,98,100,1.9,light rain
192,Whitehorse,CA,60.7161,-135.0538,26.89,97,100,2.55,overcast clouds
193,Zyryanovsk,KZ,49.7386,84.2719,-1.55,98,99,1.52,overcast clouds
194,Terekli-Mekteb,RU,44.1671,45.8698,40.42,78,98,9.84,overcast clouds
195,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.13,99,91,1.32,overcast clouds
196,Forbes,AU,-33.3833,148.0167,83.14,37,100,5.14,light rain
197,Talnakh,RU,69.4865,88.3972,11.21,95,100,9.71,overcast clouds
198,Lampang,TH,18.3333,99.5,87.24,30,30,1.03,scattered clouds
199,Seoul,KR,37.5683,126.9778,45.63,70,100,6.11,overcast clouds
200,Oyem,GA,1.5995,11.5793,66.99,99,53,2.35,broken clouds
201,Grand Gaube,MU,-20.0064,57.6608,80.51,80,99,8.68,overcast clouds
202,Bilibino,RU,68.0546,166.4372,1.33,94,94,1.01,overcast clouds
203,Itarema,BR,-2.9248,-39.9167,79.48,79,53,12.21,broken clouds
204,Pangnirtung,CA,66.1451,-65.7125,-10.79,82,94,4.27,overcast clouds
205,Yashkino,RU,55.8736,85.4265,17.37,94,100,10.11,overcast clouds
206,Necochea,AR,-38.5473,-58.7368,53.42,53,3,5.93,clear sky
207,Ribeira Grande,PT,38.5167,-28.7,62.19,93,99,14.05,overcast clouds
208,Saurimo,AO,-9.6608,20.3916,65.89,96,100,2.42,moderate rain
209,Nabire,ID,-3.3667,135.4833,85.3,71,72,5.95,broken clouds
210,Yanam,IN,16.7333,82.2167,79.86,48,38,2.82,scattered clouds
211,Aden,YE,12.7794,45.0367,77.05,75,32,15.46,scattered clouds
212,Radishchevo,RU,52.85,47.8833,28.71,94,100,9.86,overcast clouds
213,Hithadhoo,MV,-0.6,73.0833,83.77,70,69,11.43,broken clouds
214,Srednekolymsk,RU,67.45,153.6833,-0.09,91,100,8.99,overcast clouds
215,Ballinrobe,IE,53.6333,-9.2333,36.59,76,5,1.74,clear sky
216,Tomatlan,MX,19.9333,-105.25,68.0,92,6,1.07,clear sky
217,Qaanaaq,GL,77.484,-69.3632,4.51,55,100,8.41,overcast clouds
218,Tamiahua,MX,21.2667,-97.45,61.29,78,72,3.06,broken clouds
219,Port Hardy,CA,50.6996,-127.4199,45.32,94,100,5.79,light rain
220,Severo-Kurilsk,RU,50.6789,156.125,25.99,73,100,25.52,light snow
221,Karratha,AU,-20.7377,116.8463,99.07,36,21,6.49,light rain
222,Barao De Melgaco,BR,-16.1944,-55.9675,74.07,93,74,3.24,broken clouds
223,Asau,RO,46.4333,26.4,27.12,78,100,9.86,overcast clouds
224,Gimli,CA,50.6336,-96.9907,6.82,72,94,4.61,overcast clouds
225,San Cristobal,VE,7.7669,-72.225,66.06,88,96,1.88,overcast clouds
226,Felipe Carrillo Puerto,MX,19.5833,-88.05,69.17,87,10,3.09,clear sky
227,Hvide Sande,DK,56.0045,8.1294,36.0,82,100,21.47,overcast clouds
228,Sinnamary,GF,5.3833,-52.95,76.17,91,100,8.55,overcast clouds
229,Port-Gentil,GA,-0.7193,8.7815,81.34,77,100,6.06,overcast clouds
230,Acapulco,MX,16.8634,-99.8901,77.92,75,10,8.66,clear sky
231,Saint-Louis,SN,16.3333,-15.0,62.31,69,0,9.93,clear sky
232,Sola,VU,-13.8833,167.55,81.27,78,100,0.0,overcast clouds
233,Pakxan,LA,18.3778,103.6601,86.05,38,10,1.81,clear sky
234,Ilulissat,GL,69.2167,-51.1,7.16,57,50,11.1,scattered clouds
