City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Victoria,22.2855,114.1577,61.25,79,47,5.01,HK,2022-02-25 01:23:44
1,Ushuaia,-54.8,-68.3,49.66,87,75,10.36,AR,2022-02-25 01:27:07
2,Cape Town,-33.9258,18.4232,67.87,86,0,11.5,ZA,2022-02-25 01:25:48
3,Lagoa,39.05,-27.9833,57.07,71,6,9.66,PT,2022-02-25 01:27:08
4,Atuona,-9.8,-139.0333,79.02,75,18,20.51,PF,2022-02-25 01:27:09
5,Port Alfred,-33.5906,26.891,73.18,88,7,18.75,ZA,2022-02-25 01:27:09
6,Mizan Teferi,6.9833,35.5833,65.89,71,100,1.43,ET,2022-02-25 01:27:10
7,Naze,28.3667,129.4833,56.32,55,0,13.15,JP,2022-02-25 01:27:10
8,Bengkulu,-3.8004,102.2655,77.99,74,90,4.65,ID,2022-02-25 01:27:11
9,Qaanaaq,77.484,-69.3632,-14.31,58,99,5.77,GL,2022-02-25 01:27:11
10,Mataura,-46.1927,168.8643,65.48,45,2,1.32,NZ,2022-02-25 01:27:12
11,Los Llanos De Aridane,28.6585,-17.9182,60.55,76,75,14.97,ES,2022-02-25 01:27:12
12,Dikson,73.5069,80.5464,-3.37,96,100,9.95,RU,2022-02-25 01:27:13
13,Rikitea,-23.1203,-134.9692,79.41,67,98,4.43,PF,2022-02-25 01:26:47
14,Gizo,-8.103,156.8419,80.64,79,100,3.51,SB,2022-02-25 01:27:13
15,Vestmannaeyjar,63.4427,-20.2734,35.78,81,95,24.11,IS,2022-02-25 01:27:14
16,Provideniya,64.3833,-173.3,32.11,86,100,17.9,RU,2022-02-25 01:27:14
17,Tevaitoa,-16.7833,-151.5,81.12,74,8,13.56,PF,2022-02-25 01:27:15
18,Chuy,-33.6971,-53.4616,69.96,89,100,11.03,UY,2022-02-25 01:27:16
19,Coquimbo,-29.9533,-71.3436,64.13,82,0,3.44,CL,2022-02-25 01:23:16
20,Busselton,-33.65,115.3333,76.08,61,100,12.84,AU,2022-02-25 01:27:16
21,Sioux Lookout,50.1001,-91.917,-0.02,84,0,0.0,CA,2022-02-25 01:27:17
22,Punta Arenas,-53.15,-70.9167,55.51,71,0,12.66,CL,2022-02-25 01:27:18
23,San Patricio,28.017,-97.5169,46.38,69,91,14.09,US,2022-02-25 01:27:19
24,Hobart,-42.8794,147.3294,66.02,62,75,16.11,AU,2022-02-25 01:27:19
25,Sitka,57.0531,-135.33,40.89,75,100,4.61,US,2022-02-25 01:27:20
26,Luganville,-15.5333,167.1667,85.91,69,46,6.6,VU,2022-02-25 01:27:20
27,Karasjok,69.4719,25.5112,21.31,100,100,3.24,NO,2022-02-25 01:27:21
28,Bredasdorp,-34.5322,20.0403,70.29,86,100,6.4,ZA,2022-02-25 01:27:21
29,Saint-Philippe,-21.3585,55.7679,74.79,86,100,6.38,RE,2022-02-25 01:27:22
30,New Norfolk,-42.7826,147.0587,65.66,52,99,1.01,AU,2022-02-25 01:27:22
31,Velsen,52.46,4.65,42.96,72,20,18.41,NL,2022-02-25 01:27:22
32,Hermanus,-34.4187,19.2345,70.81,87,100,12.21,ZA,2022-02-25 01:27:23
33,Yellowknife,62.456,-114.3525,7.32,85,75,3.44,CA,2022-02-25 01:27:23
34,Bluff,-46.6,168.3333,65.8,73,8,3.69,NZ,2022-02-25 01:27:24
35,Tias,28.9611,-13.645,60.55,88,20,2.3,ES,2022-02-25 01:27:25
36,Cherskiy,68.75,161.3,-7.26,94,100,2.95,RU,2022-02-25 01:27:25
37,Arraial Do Cabo,-22.9661,-42.0278,76.5,87,0,3.91,BR,2022-02-25 01:24:34
38,Esmeralda,21.8525,-78.1169,72.64,67,27,10.16,CU,2022-02-25 01:27:26
39,Yenagoa,4.9247,6.2642,79.43,86,8,2.73,NG,2022-02-25 01:27:26
40,Vaini,-21.2,-175.2,86.16,79,75,10.36,TO,2022-02-25 01:27:26
41,Morondava,-20.2833,44.2833,78.64,82,29,2.57,MG,2022-02-25 01:27:27
42,Hofn,64.2539,-15.2082,21.79,61,0,9.37,IS,2022-02-25 01:27:28
43,Castro,-24.7911,-50.0119,66.38,91,7,1.7,BR,2022-02-25 01:27:28
44,Rudbar,30.15,62.6,57.94,38,0,5.61,AF,2022-02-25 01:28:29
45,Port-Cartier,50.0334,-66.8654,1.62,87,6,7.99,CA,2022-02-25 01:28:29
46,Nabire,-3.3667,135.4833,76.05,93,100,0.63,ID,2022-02-25 01:28:29
47,Jardim,-21.4803,-56.1381,81.25,59,12,3.67,BR,2022-02-25 01:28:30
48,Batemans Bay,-35.7167,150.1833,77.2,96,100,1.99,AU,2022-02-25 01:28:30
49,Mar Del Plata,-38.0023,-57.5575,66.87,91,0,8.01,AR,2022-02-25 01:28:31
50,Outjo,-20.1167,16.15,70.3,42,13,2.1,NA,2022-02-25 01:28:31
51,Mercedes,-34.6515,-59.4307,69.03,79,0,4.05,AR,2022-02-25 01:28:31
52,Mankono,8.0586,-6.1897,81.48,57,77,5.61,CI,2022-02-25 01:28:32
53,Penzance,50.1186,-5.5371,45.61,58,31,25.57,GB,2022-02-25 01:28:32
54,Upernavik,72.7868,-56.1549,-28.61,99,100,13.44,GL,2022-02-25 01:28:33
55,Kapaa,22.0752,-159.319,80.58,66,40,10.36,US,2022-02-25 01:28:33
56,Atambua,-9.1061,124.8925,75.45,89,98,7.36,ID,2022-02-25 01:28:34
57,Norman Wells,65.282,-126.8329,8.64,85,75,3.44,CA,2022-02-25 01:28:26
58,Kodiak,57.79,-152.4072,42.31,87,100,8.05,US,2022-02-25 01:28:34
59,Saint-Augustin,51.226,-58.6502,-1.3,75,96,16.33,CA,2022-02-25 01:28:35
60,Sibolga,1.7427,98.7792,78.4,83,96,2.39,ID,2022-02-25 01:28:35
61,Tasiilaq,65.6145,-37.6368,21.36,74,100,27.4,GL,2022-02-25 01:28:36
62,Ilhabela,-23.7781,-45.3581,75.85,90,12,5.37,BR,2022-02-25 01:27:55
63,Airai,-8.9266,125.4092,65.03,84,100,4.12,TL,2022-02-25 01:28:36
64,Saskylakh,71.9167,114.0833,-15.61,96,100,2.89,RU,2022-02-25 01:28:37
65,Kaka,37.3482,59.6143,49.05,51,0,6.35,TM,2022-02-25 01:28:37
66,Hamilton,39.1834,-84.5333,35.64,95,100,4.61,US,2022-02-25 01:28:37
67,Amapa,1.0,-52.0,71.78,98,67,3.42,BR,2022-02-25 01:28:38
68,East London,-33.0153,27.9116,73.29,84,15,13.27,ZA,2022-02-25 01:28:38
69,Ancud,-41.8697,-73.8203,58.53,89,28,6.73,CL,2022-02-25 01:28:39
70,Jamestown,42.097,-79.2353,31.51,48,100,9.22,US,2022-02-25 01:28:39
71,Beloha,-25.1667,45.05,73.99,90,100,11.01,MG,2022-02-25 01:28:39
72,Labuan,5.2767,115.2417,84.56,79,20,2.3,MY,2022-02-25 01:28:40
73,Kiboga,0.9161,31.7742,66.83,69,100,1.41,UG,2022-02-25 01:28:40
74,Avera,33.194,-82.5271,75.07,67,0,5.53,US,2022-02-25 01:28:41
75,Avarua,-21.2078,-159.775,84.25,79,40,13.8,CK,2022-02-25 01:28:41
76,Sol-Iletsk,51.1631,54.9918,18.55,98,98,2.17,RU,2022-02-25 01:28:41
77,Tigil,57.8,158.6667,11.37,92,100,10.13,RU,2022-02-25 01:28:42
78,Peachland,49.7665,-119.7357,31.68,51,14,2.68,CA,2022-02-25 01:28:42
79,Laguna,38.421,-121.4238,57.49,28,0,4.61,US,2022-02-25 01:28:43
80,Ulaangom,49.9811,92.0667,-11.6,95,100,1.81,MN,2022-02-25 01:28:43
81,Codrington,-38.2667,141.9667,65.98,55,6,18.01,AU,2022-02-25 01:28:44
82,Piracicaba,-22.7253,-47.6492,76.73,82,3,6.96,BR,2022-02-25 01:28:44
83,Rio Grande,-32.035,-52.0986,74.95,79,100,24.05,BR,2022-02-25 01:28:44
84,Itarema,-2.9248,-39.9167,81.07,79,93,13.98,BR,2022-02-25 01:28:45
85,Crotone,39.0851,17.1178,51.89,66,58,7.83,IT,2022-02-25 01:28:45
86,Berlevag,70.8578,29.0864,30.63,71,98,15.66,NO,2022-02-25 01:28:46
87,Ponta Do Sol,32.6667,-17.1,64.06,70,74,8.7,PT,2022-02-25 01:28:46
88,Mantua,45.1667,10.7833,46.27,85,4,1.99,IT,2022-02-25 01:28:46
89,Bad Kreuznach,49.8333,7.8667,38.84,76,11,13.98,DE,2022-02-25 01:28:50
90,Namatanai,-3.6667,152.4333,81.72,79,96,5.57,PG,2022-02-25 01:28:51
91,Lebu,-37.6167,-73.65,58.17,93,3,2.3,CL,2022-02-25 01:28:51
92,Piacabucu,-10.4056,-36.4344,80.83,75,35,12.48,BR,2022-02-25 01:29:51
93,Olafsvik,64.8945,-23.7142,26.91,72,50,12.88,IS,2022-02-25 01:29:52
94,Emporia,38.4039,-96.1817,17.8,73,100,10.36,US,2022-02-25 01:26:41
95,Saint-Francois,46.4154,3.9054,41.68,81,0,10.36,FR,2022-02-25 01:29:52
96,Chokurdakh,70.6333,147.9167,-5.93,88,100,11.86,RU,2022-02-25 01:29:53
97,Palomares,17.15,-95.0667,75.45,78,0,4.09,MX,2022-02-25 01:29:53
98,Roma,43.2128,-75.4557,23.65,59,0,4.61,US,2022-02-25 01:25:58
99,Carnarvon,-24.8667,113.6333,82.47,69,7,18.41,AU,2022-02-25 01:29:54
100,Pochutla,15.7432,-96.4661,81.45,70,4,2.71,MX,2022-02-25 01:29:54
101,Morant Bay,17.8815,-76.4093,80.22,79,13,13.65,JM,2022-02-25 01:29:55
102,Yulara,-25.2406,130.9889,87.64,25,0,10.36,AU,2022-02-25 01:29:55
103,Kampot,10.6167,104.1833,78.85,62,100,14.72,KH,2022-02-25 01:29:56
104,Ribeira Grande,38.5167,-28.7,58.24,67,8,9.24,PT,2022-02-25 01:29:56
105,Karachi,24.9056,67.0822,66.02,88,0,3.44,PK,2022-02-25 01:29:56
106,Rockhampton,-23.3833,150.5,89.49,45,40,9.22,AU,2022-02-25 01:29:57
107,Alanya,36.5438,31.9998,48.33,67,28,7.58,TR,2022-02-25 01:29:57
108,Zyryanka,65.75,150.85,-8.95,98,100,14.7,RU,2022-02-25 01:29:58
109,Tautira,-17.7333,-149.15,87.82,78,80,13.0,PF,2022-02-25 01:29:58
110,Dakar,14.6937,-17.4441,68.11,84,4,21.36,SN,2022-02-25 01:29:10
111,Barrow,71.2906,-156.7887,-7.58,77,75,17.27,US,2022-02-25 01:29:27
112,Vanimo,-2.6741,141.3028,79.32,83,100,5.35,PG,2022-02-25 01:29:59
113,Hudson Bay,52.85,-102.3842,-2.76,91,8,6.58,CA,2022-02-25 01:29:59
114,Thompson,55.7435,-97.8558,-0.24,60,20,5.75,CA,2022-02-25 01:26:34
115,Hithadhoo,-0.6,73.0833,82.2,69,0,8.55,MV,2022-02-25 01:30:00
116,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.52,74,10,8.34,BR,2022-02-25 01:30:01
117,Mamala,14.0167,121.5167,76.8,66,36,9.6,PH,2022-02-25 01:30:02
118,Charlottetown,46.2352,-63.1267,18.05,53,40,9.22,CA,2022-02-25 01:30:03
119,Guozhen,34.3659,107.359,47.79,51,6,2.66,CN,2022-02-25 01:30:04
120,Qandala,11.472,49.8728,73.83,79,22,3.33,SO,2022-02-25 01:30:05
121,Great Yarmouth,52.6083,1.7305,38.95,88,58,23.71,GB,2022-02-25 01:30:06
122,Kotelnikovo,47.6317,43.1461,38.91,94,100,12.82,RU,2022-02-25 01:30:07
123,Winnemucca,40.973,-117.7357,33.85,47,100,11.5,US,2022-02-25 01:30:09
124,Ilulissat,69.2167,-51.1,-23.22,95,100,2.89,GL,2022-02-25 01:30:10
125,Cap Malheureux,-19.9842,57.6142,75.69,84,100,7.38,MU,2022-02-25 01:30:10
126,Semey,50.4111,80.2275,12.45,91,99,4.65,KZ,2022-02-25 01:30:11
127,Broome,42.2506,-75.833,30.02,54,100,4.61,US,2022-02-25 01:30:12
128,Kalmunai,7.4167,81.8167,78.96,76,81,10.58,LK,2022-02-25 01:30:12
129,Tahe,52.3333,124.7333,21.33,78,100,2.44,CN,2022-02-25 01:30:13
130,Isangel,-19.55,169.2667,86.11,79,20,11.5,VU,2022-02-25 01:30:14
131,Yarada,17.65,83.2667,73.72,94,40,2.3,IN,2022-02-25 01:30:14
132,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,20,6.91,CA,2022-02-25 01:30:15
133,Gamba,-2.65,10.0,78.37,84,100,2.33,GA,2022-02-25 01:30:15
134,Muros,42.7762,-9.0603,52.23,75,26,18.52,ES,2022-02-25 01:30:16
135,Nouadhibou,20.931,-17.0347,62.58,88,0,18.41,MR,2022-02-25 01:30:17
136,Cotonou,6.3654,2.4183,82.38,89,40,10.36,BJ,2022-02-25 01:26:37
137,Calabozo,8.9242,-67.4293,83.3,46,91,10.76,VE,2022-02-25 01:31:17
138,Yaan,7.3833,8.5667,78.21,13,6,5.53,NG,2022-02-25 01:31:18
139,Kenai,60.5544,-151.2583,43.03,66,100,17.27,US,2022-02-25 01:31:18
140,Hilo,19.7297,-155.09,80.33,65,40,13.8,US,2022-02-25 01:31:19
141,Rawlins,41.7911,-107.2387,14.22,72,75,11.5,US,2022-02-25 01:31:19
142,Amazar,53.858,120.875,17.64,83,100,3.56,RU,2022-02-25 01:31:20
143,Albany,42.6001,-73.9662,27.3,55,43,3.06,US,2022-02-25 01:30:05
144,Fare,-16.7,-151.0167,81.45,74,2,13.44,PF,2022-02-25 01:31:20
145,Bulgan,48.8125,103.5347,8.26,82,9,2.26,MN,2022-02-25 01:31:21
146,Oranjemund,-28.55,16.4333,62.56,97,21,8.97,NA,2022-02-25 01:31:21
147,Baykit,61.67,96.37,11.44,96,100,3.36,RU,2022-02-25 01:31:21
148,Paamiut,61.994,-49.6678,-0.58,94,100,24.11,GL,2022-02-25 01:31:22
149,Boulder City,35.9786,-114.8325,48.78,18,0,8.05,US,2022-02-25 01:28:27
150,Mount Gambier,-37.8333,140.7667,69.71,49,40,16.11,AU,2022-02-25 01:31:23
151,Luderitz,-26.6481,15.1594,67.95,63,0,17.85,NA,2022-02-25 01:31:23
152,Fier,40.7239,19.5561,43.25,53,34,5.84,AL,2022-02-25 01:31:23
153,Lumsden,50.6501,-104.8678,-0.99,97,19,6.82,CA,2022-02-25 01:31:24
154,Saldanha,-33.0117,17.9442,64.51,96,10,9.91,ZA,2022-02-25 01:31:24
155,Bethel,41.3712,-73.414,31.5,51,100,5.75,US,2022-02-25 01:31:25
156,Makakilo City,21.3469,-158.0858,82.72,51,75,17.27,US,2022-02-25 01:31:25
157,Bedesa,8.9,40.7833,63.46,51,47,3.29,ET,2022-02-25 01:31:25
158,Faanui,-16.4833,-151.75,81.3,74,11,12.37,PF,2022-02-25 01:31:26
159,Geraldton,-28.7667,114.6,79.21,69,12,14.97,AU,2022-02-25 01:27:51
160,Toora-Khem,52.4675,96.11,3.74,95,100,2.73,RU,2022-02-25 01:31:26
161,Kyren,51.6828,102.1408,12.83,76,3,1.03,RU,2022-02-25 01:31:27
162,Kavieng,-2.5744,150.7967,82.06,79,97,11.32,PG,2022-02-25 01:31:27
163,Klaksvik,62.2266,-6.589,34.72,60,100,26.22,FO,2022-02-25 01:31:28
164,Camacha,33.0833,-16.3333,57.96,77,75,16.11,PT,2022-02-25 01:31:28
165,Esso,55.9333,158.7,8.64,85,100,7.0,RU,2022-02-25 01:31:29
166,Butaritari,3.0707,172.7902,82.22,77,67,19.04,KI,2022-02-25 01:31:29
167,Arlit,18.7369,7.3853,60.8,11,0,1.23,NE,2022-02-25 01:31:29
168,Shubarshi,48.5872,57.1869,29.14,90,100,2.82,KZ,2022-02-25 01:31:30
169,Orange,33.7,-117.7675,60.8,38,0,11.5,US,2022-02-25 01:28:37
170,Butembo,0.15,29.2833,60.98,66,100,2.68,CD,2022-02-25 01:31:30
171,Vanavara,60.34,102.2797,4.8,98,100,3.44,RU,2022-02-25 01:31:31
172,Souillac,-20.5167,57.5167,75.58,94,40,4.61,MU,2022-02-25 01:31:31
173,Taoudenni,22.6783,-3.9836,78.12,13,99,14.45,ML,2022-02-25 01:31:32
174,Hualmay,-11.0964,-77.6139,71.69,82,79,7.4,PE,2022-02-25 01:31:32
175,Ampanihy,-24.7,44.75,72.43,92,85,10.09,MG,2022-02-25 01:31:32
176,Esil,51.9556,66.4042,27.77,98,96,6.38,KZ,2022-02-25 01:31:33
177,Alice Springs,-23.7,133.8833,87.35,35,1,14.97,AU,2022-02-25 01:31:33
178,Afrikanda,67.4429,32.7828,29.03,94,100,14.25,RU,2022-02-25 01:31:34
179,Aquin,18.2833,-73.4,76.3,75,27,1.83,HT,2022-02-25 01:31:34
180,Torbay,47.6666,-52.7314,22.26,76,100,17.27,CA,2022-02-25 01:31:34
181,Labrea,-7.2586,-64.7981,74.89,97,100,1.7,BR,2022-02-25 01:31:35
182,Igrim,63.1906,64.4162,-3.41,99,65,4.5,RU,2022-02-25 01:31:35
183,Dolores,-36.3132,-57.6792,64.38,94,0,6.76,AR,2022-02-25 01:30:02
184,Sisimiut,66.9395,-53.6735,-17.18,96,47,6.6,GL,2022-02-25 01:31:36
185,Bubaque,11.2833,-15.8333,74.82,76,1,17.31,GW,2022-02-25 01:31:36
186,Ballina,-28.8667,153.5667,77.18,85,100,14.97,AU,2022-02-25 01:32:37
187,Vila Franca Do Campo,37.7167,-25.4333,57.2,80,93,7.2,PT,2022-02-25 01:32:37
188,Acajutla,13.5928,-89.8275,80.8,75,2,8.21,SV,2022-02-25 01:32:38
189,Port Elizabeth,-33.918,25.5701,75.09,94,100,12.66,ZA,2022-02-25 01:32:39
190,Satna,24.5833,80.8333,63.57,61,0,3.33,IN,2022-02-25 01:32:39
191,Rincon,32.296,-81.2354,70.25,73,0,10.36,US,2022-02-25 01:32:39
